"","school","conference","school_id","year","division","conference_id"
"536","Bluffton","HCAC",987,2020,3,9174
"537","Calvin","Michigan Intercol. Ath. Assn.",114,2020,3,873
"538","Capital","OAC",117,2020,3,901
"539","CWRU","UAA",122,2020,3,1471
"540","Chatham","PAC",10972,2020,3,907
"541","D'Youville","AMCC",1059,2020,3,30022
"542","Defiance","HCAC",1050,2020,3,9174
"543","Denison","NCAC",182,2020,3,897
"544","DePauw","NCAC",177,2020,3,897
"545","Earlham","HCAC",195,2020,3,9174
"546","Finlandia","WIAC",30032,2020,3,1473
"547","Franciscan","AMCC",30069,2020,3,30022
"548","Franklin","HCAC",2694,2020,3,9174
"549","Geneva","PAC",30084,2020,3,907
"550","Grove City","PAC",265,2020,3,907
"551","Hanover","HCAC",1115,2020,3,9174
"552","Heidelberg","OAC",278,2020,3,901
"553","Hilbert","AMCC",8398,2020,3,30022
"554","Hiram","NCAC",281,2020,3,897
"555","Hope","Michigan Intercol. Ath. Assn.",286,2020,3,873
"556","John Carroll","OAC",320,2020,3,901
"557","Kalamazoo","Michigan Intercol. Ath. Assn.",326,2020,3,873
"558","Kenyon","NCAC",335,2020,3,897
"559","La Roche","AMCC",1163,2020,3,30022
"560","Manchester","HCAC",1192,2020,3,9174
"561","Marietta","OAC",385,2020,3,901
"562","Medaille","AMCC",23725,2020,3,30022
"563","Mount Aloysius","AMCC",30036,2020,3,30022
"564","Mt. St. Joseph","HCAC",8567,2020,3,9174
"565","Mount Union","OAC",452,2020,3,901
"566","Muskingum","OAC",455,2020,3,901
"567","Oberlin","NCAC",515,2020,3,897
"568","Ohio Northern","OAC",517,2020,3,901
"569","Ohio Wesleyan","NCAC",520,2020,3,897
"570","Olivet","Michigan Intercol. Ath. Assn.",525,2020,3,873
"571","Otterbein","OAC",531,2020,3,901
"572","Penn St.-Altoona","AMCC",25719,2020,3,30022
"573","Penn St.-Behrend","AMCC",538,2020,3,30022
"574","Pitt.-Bradford","AMCC",1315,2020,3,30022
"575","Pitt.-Greensburg","AMCC",11839,2020,3,30022
"576","Rose-Hulman","HCAC",585,2020,3,9174
"577","Saint Vincent","PAC",30064,2020,3,907
"578","Thiel","PAC",707,2020,3,907
"579","Transylvania","HCAC",28749,2020,3,9174
"580","Trine","Michigan Intercol. Ath. Assn.",30037,2020,3,873
"581","Wabash","NCAC",747,2020,3,897
